Bug_Name|Web_Link|Issue_Title|Actor_Characteristic|Actor_SubCategory|CBS_Aspect|CBS_Software|CBS_Implication
[Gatling-1018]|https://github.com/gatling/gatling/issues/1018|A bug in FileDataWriter|Communication|Message_Order|R|R|FL
[Gatling-1019]|https://github.com/gatling/gatling/issues/1019|A bug in Terminator|Communication|Message_Order|R|R|FL
[Gatling-1116]|https://github.com/gatling/gatling/issues/1116|Another Bug In DataWriter|Communication|Message_Order|RC|R|L
[Gatling-1136]|https://github.com/gatling/gatling/issues/1136|If ignores elseNext|Logic|Logic|R|L|F
[Gatling-1139]|https://github.com/gatling/gatling/issues/1139|RoundRobin leaks memory|Logic|Logic|R|C|PL
[Gatling-1316]|https://github.com/gatling/gatling/issues/1316|DataWriters still might receive messages after unbecome |Logic|Logic|R|L|L
[Gatling-1410]|https://github.com/gatling/gatling/issues/1410|Calling feed() should not start the actor system|Logic|Logic|R|L|F
[Gatling-1586]|https://github.com/gatling/gatling/issues/1586|Protocol warm up is not triggered when using default|Logic|Logic|R|C|F
[Gatling-1800]|https://github.com/gatling/gatling/issues/1800|Core: Groups don't get logged when a loop exits ASAP|Logic|Logic|R|L|L
[Gatling-1860]|https://github.com/gatling/gatling/issues/1860|Core: Loop continue condition should be also evaluated on entering the loop|Logic|Logic|R|L|F
[Gatling-1988]|https://github.com/gatling/gatling/issues/1988|Core: TryMax always loops whatever current status|Logic|Logic|R|C|P
[Gatling-2034]|https://github.com/gatling/gatling/issues/2034|Core: RunMessage should use a timestamp/UTC date|Logic|Logic|RS|C|FL
[Gatling-2090]|https://github.com/gatling/gatling/issues/2090|HTTP: resources() requests not captured in enclosing group|Logic|Logic|R|L|L
[Gatling-2129]|https://github.com/gatling/gatling/issues/2129|Core: upfront user scheduling huge memory usage|Coordination|Cooperation|PS|O|P
[Gatling-2132]|https://github.com/gatling/gatling/issues/2132|Core: throughput drops to zero between scheduled cUps() user batches when active users >0|Coordination|Cooperation|PS|O|PS
[Gatling-2138]|https://github.com/gatling/gatling/issues/2138|Core: New vu scheduling lose a vu at the limit|Logic|Logic|R|L|T
[Gatling-2144]|https://github.com/gatling/gatling/issues/2144|Core: RendezVous buffer doesn't get clear on becoming passThrough|Logic|Logic|R|L|C
[Gatling-2250]|https://github.com/gatling/gatling/issues/2250|Core: uniformRandomSwitch rounding issue|Logic|Logic|R|L|C
[Gatling-2334]|https://github.com/gatling/gatling/issues/2334|Core: Exception while shutting down might hide root exception|Coordination|Shutdown|R|E|L
[Gatling-2351]|https://github.com/gatling/gatling/issues/2351|Core: Error log during shutdown when using maxDuration|Logic|Logic|R|EC|F
[Gatling-2712]|https://github.com/gatling/gatling/issues/2712|Core: SessionAttribute.asOption doesn't crash on wrong type|Logic|Logic|R|E|F
[Gatling-2717]|https://github.com/gatling/gatling/issues/2717|Core: Defining throttling at setup level is broken|Logic|Logic|R|LC|F
[Gatling-2818]|https://github.com/gatling/gatling/issues/2818|Fix PaceSpec|Logic|Logic|R|C|F
[Gatling-3197]|https://github.com/gatling/gatling/issues/3197|Core: Group is considered as OK even if no transaction was built|Logic|Logic|C|L|C
[Gatling-372]|https://github.com/gatling/gatling/issues/372|Make Session immutable|Logic|Logic|R|C|LC
[Gatling-470]|https://github.com/gatling/gatling/issues/470|Incorrect counts displayed in the CLI|Logic|Logic|R|L|L
[Gatling-483]|https://github.com/gatling/gatling/issues/483|Don't use a PoisonPill for flushing the DataWriter|Logic|Logic|RPS|L|L
[Gatling-495]|https://github.com/gatling/gatling/issues/495|Reduce scheduler ticks|Logic|Logic|R|C|P
[Gatling-520]|https://github.com/gatling/gatling/issues/520|Ensure SimpleActions don't crash the flow |Logic|Logic|AR|LE|F
[Gatling-522]|https://github.com/gatling/gatling/issues/622|WhileActionBuilder.build time out|Logic|Logic|AS|A|F
[Gatling-526]|https://github.com/gatling/gatling/issues/526|Rework shift compensation to account for scheduler shifting|Logic|Logic|R|C|P
[Gatling-545]|https://github.com/gatling/gatling/issues/545|Error in time shift algorithm causes wrong pauses|Logic|Logic|R|C|F
[Gatling-558]|https://github.com/gatling/gatling/issues/558|Ensure IfAction and WhileAction don't crash on condition evaluation|Logic|Logic|R|O|F
[Gatling-777]|https://github.com/gatling/gatling/issues/777|While condition evaluation failure causes unrecoverable crash|Coordination|Recovery|A|L|F
[Gatling-787]|https://github.com/gatling/gatling/issues/787|JsonPath fails when nodes with the same name appear at different locations|Coordination|Cooperation|RS|L|FT
[Gatling-857]|https://github.com/gatling/gatling/issues/857|Stop engine nicely instead of System.exit on feeder starvation |Coordination|Shutdown|PA|EH|PT
[Kamon-112]|https://github.com/kamon-io/Kamon/issues/112|Missing NewRelic Web Application Metrics|Coordination|Recovery|R|L|L
[Kamon-135]|https://github.com/kamon-io/Kamon/issues/135|Reported GC time is way too high|Logic|Logic|R|L|C
[Kamon-184]|https://github.com/kamon-io/Kamon/issues/184|NPE in ActorCellInstrumention.beforeInvokeFailure|Communication|ErrorHandle|A|E|T
[Kamon-199]|https://github.com/kamon-io/Kamon/issues/199|NPE when initializing a balancing-pool router from configuration|Logic|Logic|A|C|T
[Kamon-271]|https://github.com/kamon-io/Kamon/issues/271|balancing pool router shows incorrect time-in-mailbox and mailbox-size metrics |Communication|Response|C|L|C
[Kamon-290]|https://github.com/kamon-io/Kamon/issues/290|error thrown in dispatcher instrumentation when using custom dispatchers|Logic|Logic|R|L|F
[Kamon-37]|https://github.com/kamon-io/Kamon/issues/37|NPE when dispatcher shutdown|Coordination|Shutdown|RS|L|F
[Kamon-38]|https://github.com/kamon-io/Kamon/issues/38|NPE when application start with multiples Actor Systems|Coordination|Creation|R|L|T
[Kamon-69]|https://github.com/kamon-io/Kamon/issues/69|NPE when stopping a actor with Kamon 0.3.2|Logic|Logic|R|C|F
[Kamon-71]|https://github.com/kamon-io/Kamon/issues/71|Getting IndexOutOfBoundsException while Kamon is active|Logic|Logic|R|LA|F
[Lagom-91]|https://github.com/lagom/lagom/issues/91|Re-connecting to cassandra DB is not working|Communication|Response|A|L|F
[PlayFrameWork-5704]|https://github.com/playframework/playframework/issues/5704|2.5.0-RC1 BodyParser maxLength behaviour|Coordination|Recovery|RC|E|F
[Scalatra-148]|https://github.com/scalatra/scalatra/issues/148|After filters run synchronously on asynchronous requests|Logic|Logic|R|L|P
[Spark-1319]|https://issues.apache.org/jira/browse/SPARK-1319|The current code effectively ignores spark.task.cpus|Logic|Logic|P|C|P
[Spark-1825]|https://issues.apache.org/jira/browse/SPARK-1825|Windows Spark fails to work with Linux YARN|Logic|Logic|R|C|F
[Spark-3223]|https://issues.apache.org/jira/browse/SPARK-3223|runAsSparkUser cannot change HDFS write permission properly in mesos cluster mode|Logic|Logic|R|C|FL
[Spark-3923]|https://issues.apache.org/jira/browse/SPARK-3923|All Standalone Mode services time out with each other|Logic|Logic|A|C|T
[Spark-3941]|https://issues.apache.org/jira/browse/SPARK-3941|_remainingMem should not increase twice when updateBlockInfo|Logic|Logic|P|L|P
[Spark-4013]|https://issues.apache.org/jira/browse/SPARK-4013|Do not run multiple actor systems on each executor|Coordination|Creation|R|L|F
[Spark-4592]|https://issues.apache.org/jira/browse/SPARK-4592|Worker registration failed: Duplicate worker ID error during Master failover|Coordination|Recovery|AR|ER|FT
[Spark-4951]|https://issues.apache.org/jira/browse/SPARK-4951|A busy executor may be killed when dynamicAllocation is enabled|Coordination|WorkLoad|R|R|F
[Spark-4955]|https://issues.apache.org/jira/browse/SPARK-4955|Dynamic allocation doesn't work in YARN cluster mode|Logic|Logic|R|L|F
[Spark-5006]|https://issues.apache.org/jira/browse/SPARK-5006|spark.port.maxRetries doesn't work|Logic|Logic|C|C|F
[Spark-5268]|https://issues.apache.org/jira/browse/SPARK-5268|CoarseGrainedExecutorBackend exits for irrelevant DisassociatedEvent|Logic|Logic|R|LE|T
[Spark-5529]|https://issues.apache.org/jira/browse/SPARK-5529|BlockManager heartbeat expiration does not kill executor|Logic|Logic|R|L|F
[Spark-5548]|https://issues.apache.org/jira/browse/SPARK-5548|Flaky test: o.a.s.util.AkkaUtilsSuite.remote fetch ssl on - untrusted server|Coordination|Operation_Order|R|R|F
[Spark-5691]|https://issues.apache.org/jira/browse/SPARK-5691|Preventing duplicate registering of an application has incorrect logic|Coordination|WorkLoad|PS|A|P
[Spark-5698]|https://issues.apache.org/jira/browse/SPARK-5698|Dynamic allocation: do not allow user to request a negative delta|Logic|Logic|R|L|F
[Spark-5760]|https://issues.apache.org/jira/browse/SPARK-5760|StandaloneRestClient/Server error behavior is incorrect|Logic|Logic|R|E|F
[Spark-5761]|https://issues.apache.org/jira/browse/SPARK-5761|Revamp StandaloneRestProtocolSuite|Communication|Response|P|E|F
[Spark-6640]|https://issues.apache.org/jira/browse/SPARK-6640|Executor may connect to HeartbeartReceiver before it's setup in the driver side|Coordination|Operation_Order|A|R|F
[Spark-8881]|https://issues.apache.org/jira/browse/SPARK-8881|Standalone mode scheduling fails because cores assignment is not atomic|Logic|Logic|R|CH|FP
[Spary-1019]|https://github.com/spray/spray/issues/1019|HTTP Client doesn't support "//" at the beginning or a URL path|Logic|Logic|R|L|F
[Spary-20]|https://github.com/spray/spray/issues/20|MediaType matching is not case-insensitive for custom MediaTypes/-Ranges|Communication|Connection|RA|E|FT
[Spary-37]|https://github.com/spray/spray/issues/37|RootService forgets attached HttpServices during restarts|Logic|Logic|R|EC|L
[Spary-387]|https://github.com/spray/spray/issues/387|NPE in ResponseReceiveRef under stress|Logic|Logic|R|L|F
[Spary-390]|https://github.com/spray/spray/issues/390|finishConnect may return false even if connection attempt is successful on Android|Logic|Logic|RC|L|F
[Spary-459]|https://github.com/spray/spray/issues/459|Examine non-deterministic test-failure in release/1.0 branch|Communication|Message_Order|RA|R|F
[Spary-513]|https://github.com/spray/spray/issues/513|File upload example in simple-http-server doesn't work for uploads < incoming-auto-chunking-threshold-size|Logic|Logic|R|C|FL
[Spary-539]|https://github.com/spray/spray/issues/539|can: ConnectionTimeouts should Abort instead of close on idle timeout|Logic|Logic|R|L|F
[Spary-633]|https://github.com/spray/spray/issues/633|client/io: SSL errors with 1.1/1.2-RC1|Communication|Connection|R|L|F
[Spary-666]|https://github.com/spray/spray/issues/666|Negative 'openConnections' in StatsSupport |Communication|Connection|R|L|C
[Spary-719]|https://github.com/spray/spray/issues/719|can: client redirection doesn't reuse already open connection|Communication|Response|P|O|P
[Spary-72]|https://github.com/spray/spray/issues/72|spray-client: problems with concurrent HttpConduits|Coordination|Cooperation|S|L|F
[Spary-78]|https://github.com/spray/spray/issues/78|If a connection managed by spray-client times out spray-client currently doesn't properly recover|Communication|ErrorHandle|R|L|F
[Spary-788]|https://github.com/spray/spray/issues/788|RefUtils.isLocal doesn't support noSender==null|Communication|Response|A|L|T
[Spary-789]|https://github.com/spray/spray/issues/789|httpx: Marshaller[Stream] doesn't support empty streams|Logic|Logic|R|L|F
[Spary-798]|https://github.com/spray/spray/issues/798|Received unmatched send confirmation: NoAck(null)|Communication|Response|R|A|F
[Spary-879]|https://github.com/spray/spray/issues/879|(IO(Http) ? HttpRequest) does not reply if the URL is malformed|Logic|Logic|R|L|F
[Spary-99]|https://github.com/spray/spray/issues/99|getFromFileName issue with spray1.0M and akka2.0|Communication|Connection|RS|EC|FL
[Squbs-29]|https://github.com/paypal/squbs/issues/29|Build is sporadically hanging on unit tests|Coordination|Operation_Order|R|RH|F
[Squbs-294]|https://github.com/paypal/squbs/issues/294|Exception at Shutdown|Coordination|Shutdown|R|LR|F
[Squbs-302]|https://github.com/paypal/squbs/issues/302|Cannot obtain port from auto-assignment if some listeners error out|Communication|ErrorHandle|A|LC|FT
[Squbs-45]|https://github.com/paypal/squbs/issues/45|Frequent timeouts when building with coverage on Travis-CI|Logic|Logic|RA|C|F
[Squbs-54]|https://github.com/paypal/squbs/issues/54|Fix null issues reported by Codacy|Logic|Logic|R|L|F
[Squbs-85]|https://github.com/paypal/squbs/issues/85|Fix build stability issues - builds must not sporadically fail.|Logic|Logic|R|C|FT
[Squbs-94]|https://github.com/paypal/squbs/issues/94|Fix scope of HttpClient configuration to be ActorSystem scope|Logic|Logic|R|C|FL
